# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -18071 8 9 1048603 1361449 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_before_rename/assets/assets.xml
DUPTYPE_WITHIN_SAME_TREE -18071 9 9 1048603 1390622 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_after_rename/assets/assets.cc0c8eb1758e.xml
DUPTYPE_WITHIN_SAME_TREE -18071 9 9 1048603 1367432 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_before_rename/assets/assets.xml
DUPTYPE_WITHIN_SAME_TREE -18071 8 9 1048603 1361471 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_after_rename/assets/assets.xml
DUPTYPE_WITHIN_SAME_TREE -18071 8 9 1048603 1383001 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_before_rename/assets/assets.cc0c8eb1758e.xml
DUPTYPE_FIRST_OCCURRENCE 18015 8 9 1048603 1382971 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/2014/info/handouts.bd911722f02b.html
DUPTYPE_WITHIN_SAME_TREE -18015 8 9 1048603 1361365 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/2014/info/handouts.html
DUPTYPE_WITHIN_SAME_TREE -18015 8 9 1048603 1361409 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_info_updates/info/handouts.html
DUPTYPE_WITHIN_SAME_TREE -18015 9 9 1048603 1390597 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_info_updates/info/handouts.bd911722f02b.html
DUPTYPE_WITHIN_SAME_TREE -18015 9 9 1048603 1390585 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/2014/info/handouts.bd911722f02b.html
DUPTYPE_WITHIN_SAME_TREE -18015 9 9 1048603 1367392 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_info_updates/info/handouts.html
DUPTYPE_WITHIN_SAME_TREE -18015 9 9 1048603 1367348 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/2014/info/handouts.html
DUPTYPE_WITHIN_SAME_TREE -18015 8 9 1048603 1382983 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_info_updates/info/handouts.bd911722f02b.html
DUPTYPE_FIRST_OCCURRENCE 18445 8 10 1048603 1383184 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/scoreable/assets/assets.5acc90915fbe.xml
DUPTYPE_WITHIN_SAME_TREE -18445 9 10 1048603 1367763 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/scoreable/assets/assets.xml
DUPTYPE_WITHIN_SAME_TREE -18445 8 10 1048603 1361780 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/scoreable/assets/assets.xml
DUPTYPE_WITHIN_SAME_TREE -18445 9 10 1048603 1390798 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/scoreable/assets/assets.5acc90915fbe.xml
DUPTYPE_FIRST_OCCURRENCE 18145 8 11 1048603 1382950 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/library_empty_problem/problem/afe9dbb29b724181944f56617c72b3e5.05b2263b1cf4.xml
DUPTYPE_WITHIN_SAME_TREE -18145 8 11 1048603 1361315 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/library_empty_problem/problem/afe9dbb29b724181944f56617c72b3e5.xml
DUPTYPE_WITHIN_SAME_TREE -18145 9 11 1048603 1390564 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/library_empty_problem/problem/afe9dbb29b724181944f56617c72b3e5.05b2263b1cf4.xml
DUPTYPE_WITHIN_SAME_TREE -18145 9 11 1048603 1367298 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/library_empty_problem/problem/afe9dbb29b724181944f56617c72b3e5.xml
DUPTYPE_FIRST_OCCURRENCE 18435 8 14 1048603 1383127 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/manual-testing-complete/word_cloud/5d607a74f7214eaa92079c3195e0badb.1f48752b70b4.xml
DUPTYPE_WITHIN_SAME_TREE -18435 9 14 1048603 1367631 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/manual-testing-complete/word_cloud/5d607a74f7214eaa92079c3195e0badb.xml
DUPTYPE_WITHIN_SAME_TREE -18435 8 14 1048603 1361648 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/manual-testing-complete/word_cloud/5d607a74f7214eaa92079c3195e0badb.xml
DUPTYPE_WITHIN_SAME_TREE -18435 9 14 1048603 1390741 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/manual-testing-complete/word_cloud/5d607a74f7214eaa92079c3195e0badb.1f48752b70b4.xml
DUPTYPE_FIRST_OCCURRENCE 18193 8 16 1048603 1383130 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/manual-testing-complete/info/handouts.347e65afd1eb.html
DUPTYPE_WITHIN_SAME_TREE -18193 8 16 1048603 1361652 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/manual-testing-complete/info/handouts.html
DUPTYPE_WITHIN_SAME_TREE -18193 9 16 1048603 1367635 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/manual-testing-complete/info/handouts.html
DUPTYPE_WITHIN_SAME_TREE -18193 9 16 1048603 1390744 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/manual-testing-complete/info/handouts.347e65afd1eb.html
DUPTYPE_FIRST_OCCURRENCE 18099 8 19 1048603 1382939 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_ignore/course/2014_Fall.e1826c1c544a.xml
DUPTYPE_WITHIN_SAME_TREE -18099 8 19 1048603 1361287 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_ignore/course/2014_Fall.xml
DUPTYPE_WITHIN_SAME_TREE -18099 9 19 1048603 1390475 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_about_blob_end_date/course/2012_Fall.e1826c1c544a.xml
DUPTYPE_WITHIN_SAME_TREE -18099 9 19 1048603 1390553 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_ignore/course/2014_Fall.e1826c1c544a.xml
DUPTYPE_WITHIN_SAME_TREE -18099 9 19 1048603 1390477 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_end/course/2012_Fall.e1826c1c544a.xml
DUPTYPE_WITHIN_SAME_TREE -18099 8 19 1048603 1361100 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_end/course/2012_Fall.xml
DUPTYPE_WITHIN_SAME_TREE -18099 8 19 1048603 1361091 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_about_blob_end_date/course/2012_Fall.xml
DUPTYPE_WITHIN_SAME_TREE -18099 9 19 1048603 1367083 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/test_end/course/2012_Fall.xml
